Residual_heat_flux,Residual_shortwave,Residual_longwave,Residual_SLP,Residual_tot_precip,Residual_RH,Residual_u10m,Residual_v10m,Residual_sea_ice,Residual_cloud_cover,Residual_cloud_water,Residual_GH_mean
0.4830819234973056,0.5541239575110798,0.6157914977641185,0.882990911328309,0.409715595371954,0.1736458384954629,0.4208893457523376,0.3893002233267684,0.4586249761210109,0.5311518258086992,0.4495294346247704,0.8442299112887778
0.6051549857399428,0.5386482232226653,0.8325559557842587,0.4622375134482491,0.4345391738111136,0.3063067569797807,0.7634211401665121,0.654331115029566,0.5393846372802545,0.5551251774486052,0.538211276445011,
0.4890110865861291,,0.6086218302766339,0.7184038830628708,,,0.4658308683804567,0.492915899268799,,,0.3368739638224916,
0.2975565151405356,0.6233658804693591,0.3855309719801532,0.5668999612070654,,0.6192214532933085,0.5648927026491153,0.5267559706005838,0.5566980112969167,0.5496263453534449,0.3829954285151104,
0.3997265343407941,0.3705493736296998,0.6710693303588916,0.6565871192517968,0.3517807540998978,0.3940067104676806,0.3201986992290456,0.3624571717923797,0.5344166385277285,0.6418114142273593,0.5364597129139832,
0.4373071213500773,0.7391172850292466,0.4446088350588557,0.4205108741883291,,0.5575792227484216,0.6441989584939982,0.6001141609751524,,0.3308253114213229,0.3375490572735927,0.4766048632050013
0.4586137630594905,0.2348444666250937,0.5342996673067073,0.5480832352003416,0.4597109973948571,,,0.3801910215137388,0.5957084311808469,,0.6124926647532742,0.4799393456896471
,0.7780758183950349,0.4295394405437859,0.5914481635495438,,0.3425530009890992,0.6356315155428215,0.556656984463743,,0.2113326301851548,0.236116419488018,0.5774556491231623
0.3446347953838318,0.652529591819345,0.3894763359198145,0.5347650651538685,0.2493745187857395,0.4674713228528153,0.5743926461485056,,0.8185209489668687,,,
,0.5363592605950867,0.5614199876109108,0.5130010910675219,0.398116476986819,0.333450771849708,0.5198387749890092,0.4172647050628933,0.5509864760414909,0.4257723141351015,0.4449211211198285,0.6307620932548512
0.304647110109754,0.5406024703199368,,,0.3691592699112546,0.6230911984764719,0.2271663232295529,,0.5535338686529742,0.3358340495937179,0.1536681547685636,0.409406687686031
0.2477088483557541,0.5429565788458985,0.2270174727012398,0.6290337334332511,0.4435348155400065,0.4284964016066349,0.6005258784322985,0.4681145641555494,0.5100400473388887,0.3124174115386797,,0.4861605063844328
0.1915766689851143,0.5331287092053986,1.0,0.2402525780774194,0.909008698090946,0.5250538706617267,0.7765097282169966,0.6023856706125709,0.4751921822793188,0.787007546767566,,
0.330500715221468,0.5419082286781163,0.6252504201596321,0.5372886996443202,,0.4514843208166407,0.6718006156574697,0.5925878461589403,0.4248937534071007,0.5351796888051786,0.5620036336150885,0.5658924359619089
0.107754632810484,0.5274755259903234,,,0.4531070544603206,0.3893230673774761,0.0497095776823078,0.0500169024622212,0.366661604594455,0.5819827265640722,0.4394812399450837,0.6993060999082679
,,0.5998595832109669,0.4328335641494614,0.6005298375823624,0.884348310555381,0.5495767112795401,0.6378184654905632,0.4431940430827908,0.699557116531422,0.6031996240515473,0.461748619962624
