Residual_heat_flux,Residual_shortwave,Residual_longwave,Residual_SLP,Residual_tot_precip,Residual_RH,Residual_u10m,Residual_v10m,Residual_sea_ice,Residual_cloud_cover,Residual_cloud_water,Residual_GH_mean
0.4830819234973056,0.5541239575110798,0.6157914977641185,0.882990911328309,0.409715595371954,,0.4208893457523376,,,0.5311518258086992,0.4495294346247704,0.8442299112887778
,0.5386482232226653,0.8325559557842587,0.4622375134482491,,0.3063067569797807,,,,,,
,,0.6086218302766339,,0.2268905907393205,0.647266779927033,0.4658308683804567,0.492915899268799,,,0.3368739638224916,0.7034051097013684
,,,0.5668999612070654,0.4382387665502397,,0.5648927026491153,0.5267559706005838,,,0.3829954285151104,
0.3997265343407941,0.3705493736296998,,,,0.3940067104676806,0.3201986992290456,0.3624571717923797,0.5344166385277285,0.6418114142273593,0.5364597129139832,0.6822245405472355
0.4373071213500773,,,0.4205108741883291,,0.5575792227484216,0.6441989584939982,,,0.3308253114213229,,0.4766048632050013
0.4586137630594905,0.2348444666250937,0.5342996673067073,0.5480832352003416,0.4597109973948571,0.6283359010363467,0.3803904521213896,,,0.7936896123378597,,
0.2795772495468768,0.7780758183950349,0.4295394405437859,0.5914481635495438,0.3507498933771946,0.3425530009890992,0.6356315155428215,,0.6580523546614749,0.2113326301851548,,
0.3446347953838318,0.652529591819345,0.3894763359198145,,,0.4674713228528153,0.5743926461485056,0.5333530431615545,0.8185209489668687,0.3499316616863496,0.174066211600693,
,0.5363592605950867,0.5614199876109108,0.5130010910675219,,0.333450771849708,0.5198387749890092,,0.5509864760414909,0.4257723141351015,,
0.304647110109754,,,0.5704692021117432,0.3691592699112546,0.6230911984764719,0.2271663232295529,,0.5535338686529742,,0.1536681547685636,0.409406687686031
0.2477088483557541,0.5429565788458985,,0.6290337334332511,0.4435348155400065,0.4284964016066349,,0.4681145641555494,0.5100400473388887,,,0.4861605063844328
0.1915766689851143,0.5331287092053986,1.0,,0.909008698090946,0.5250538706617267,,0.6023856706125709,,,0.82564190088926,0.4687730088556653
,0.5419082286781163,,,0.6555842199825461,0.4514843208166407,0.6718006156574697,0.5925878461589403,0.4248937534071007,0.5351796888051786,0.5620036336150885,
,0.5274755259903234,,,,0.3893230673774761,0.0497095776823078,0.0500169024622212,0.366661604594455,,0.4394812399450837,0.6993060999082679
,0.4632076684078326,,0.4328335641494614,,0.884348310555381,0.5495767112795401,0.6378184654905632,,0.699557116531422,0.6031996240515473,0.461748619962624
,0.7233519099846359,,0.4296891114957898,0.5005111003749122,0.4773914908353334,,0.624232025312975,,0.3267893597210727,0.4166252893330307,0.5159488526349677
,,0.593871664263576,0.5804679821051666,0.7020420892852056,,0.402776253298732,0.4587361258586519,0.5619236982577078,0.6103686875485297,0.775985586626026,0.5972767248323373
,,,0.4167724300791943,0.7827325718813406,0.7212818036566939,0.6173749648917388,0.6036324165363941,0.6624169258047956,,,
0.4957018169706508,,0.5411811245699436,,,,0.6264203747435837,0.6161534377615666,0.582792394463265,,0.377813006802723,0.6559242953651688
,,0.5755490444881901,,,,,,0.6284403254849975,0.7699344072174314,0.591745765510295,0.6941863258539982
0.4246099086189459,,,,0.4229512395629112,0.4431338955412252,,0.2984087677575296,,,,0.8148425963162003
0.5395044947604564,0.5779858714287488,0.6399490512320395,,0.3931681764034719,0.4277665055396464,0.60168278794195,0.5443097194467917,0.4325236268508989,0.4724750159500239,0.3708803634910187,0.6193334486247571
,0.5786955287335603,0.3733626639375611,0.5423399928794749,0.2819230234260981,0.2438756269950591,0.2860088986293205,0.3123576093717272,,0.3779919383875171,0.2632712685695873,0.5411423320143977
0.4871529894346351,,,,,,,0.3784883685648911,0.6113673510673466,0.2094458727968145,0.2263731632056188,
,,0.6283179468428979,0.4268254615330157,0.5964739349328061,,0.6855966445173669,0.7093724253666583,,0.666187157265731,0.613102916123484,0.5095043935941809
,,0.3364503746011029,0.4301874295052683,,,,0.599688192248712,,0.6182852921030928,0.3325814800387796,
0.4503554396011888,0.4947683528047379,0.4139758639089025,0.2970276125642155,0.6973717275502479,0.8924112262561688,0.6918400941877465,0.6440438001540737,0.5841802658860834,,0.454422001327219,0.3666244608635856
,0.6681106076347356,0.3183886381587976,,,,,0.3919967170085294,0.5592895671979619,,0.3055292749002785,
0.4418022090379777,0.6210878071324927,0.4483317823261568,0.636208112019572,,,0.2706067213264908,,0.5846875891470878,,0.3101069652731931,
0.3118257175087418,0.9385052104216862,0.4550501320378806,0.4513180284503884,0.4363139655940662,,,0.6166535302834909,,0.0860013076429558,0.1318922445093963,0.4972733067587628
0.378149754601448,,0.418248703286844,,0.3301158371887233,,0.5306047449347543,,0.6938215568257158,,0.2501328630014893,0.4927027164511464
,0.593147313355588,,,0.6295600938836358,,,0.5380660151193766,,,0.3374559572122151,0.4052643937501213
0.5272608497899604,,,,0.3361897064998503,,0.4268335254330849,,0.6832765518575133,,0.4481132684432203,0.5444699884607934
0.4009897584257696,,0.3057928015944576,0.470597352927121,0.4951259000974128,0.4407726280411682,,0.3652311925096851,0.5771741251431066,0.5468138835508404,0.4424550690103343,0.4357014133531895
,,0.6138065442775633,0.3380880191819705,0.5719798056748079,0.4731626733084872,,,0.493441024728455,0.6228741131210638,0.5264591758227457,0.4227017982900345
0.0977356861489093,,,0.3479281466599757,,,0.4913219531371819,0.5091207854741266,,0.7500368208897572,0.582083687522239,0.3713889273281074
0.266948422686996,,0.5419519225847478,,0.3934688315550586,0.3570492434226161,0.6521809706379745,,0.4853028058499006,0.68122584019195,0.5597102675411085,
0.4482325631981679,0.3571804098138497,,,0.4291514402689366,,,0.4878256156667356,0.4608187608022802,,0.5936177949680391,0.7698548643216883
0.3686653967274858,0.1863052317249044,0.5164392571418314,,0.4486131124159164,,,0.3447639790398014,,0.7466241485510918,0.601744647210012,
0.6097181415893163,0.4943235757393038,,0.6393953366165237,,0.4995856475598053,0.4620033158069493,,0.3116685132018078,,,
0.5254121857005853,,0.4076776988014223,0.4966226212150571,,0.4666949882039314,,0.6652960280613128,,0.0,0.2814074832087272,0.5463703832368138
,,,,,,,0.5486944971861426,0.7119054655698833,0.5601510639740379,,
0.5363641614527844,0.4717132268129811,0.6056234746154285,0.3737121177628463,0.7234150759554241,0.6705082323632805,,,,0.532114150361251,0.6500406256552478,
,0.586957984342885,,0.6167353092649169,0.3803399732053212,,,0.3977055110607501,0.6661001705194959,,0.55307348990735,
0.3210355328964691,,,,0.5880435372019065,0.6812229048563454,,0.4981655348231358,0.5793204532856218,0.5184068160656288,0.4172438657263901,
0.2862318161854459,0.6007582800620015,,0.4321540326740423,,,,,,,,
,0.597796294869645,0.5338300976298568,,,,,0.4579112613531871,,0.234362199888936,,0.6129259207548753
,0.5932021447994962,0.6701121579311294,,0.3655565046094848,,0.5418463417500903,,0.3519451927495968,0.6509190155218086,0.3941314057177891,0.4727649171866737
