Residual_heat_flux,Residual_shortwave,Residual_longwave,Residual_SLP,Residual_tot_precip,Residual_RH,Residual_u10m,Residual_v10m,Residual_sea_ice,Residual_cloud_cover,Residual_cloud_water,Residual_GH_mean
0.4830819234973056,0.5541239575110798,,0.882990911328309,,,,0.3893002233267684,0.4586249761210109,,0.4495294346247704,0.8442299112887778
,,,,,,0.7634211401665121,,0.5393846372802545,0.5551251774486052,,
0.4890110865861291,,,0.7184038830628708,,,,0.492915899268799,0.5356274092030552,,,
,,0.3855309719801532,0.5668999612070654,,0.6192214532933085,0.5648927026491153,0.5267559706005838,,0.5496263453534449,,
,,0.6710693303588916,0.6565871192517968,0.3517807540998978,0.3940067104676806,,,0.5344166385277285,,,0.6822245405472355
0.4373071213500773,0.7391172850292466,0.4446088350588557,,,0.5575792227484216,0.6441989584939982,,0.4791971408255525,0.3308253114213229,,0.4766048632050013
0.4586137630594905,,,0.5480832352003416,0.4597109973948571,,0.3803904521213896,0.3801910215137388,0.5957084311808469,0.7936896123378597,0.6124926647532742,
0.2795772495468768,,0.4295394405437859,0.5914481635495438,,,,,,0.2113326301851548,0.236116419488018,
,0.652529591819345,,0.5347650651538685,,,,,,0.3499316616863496,0.174066211600693,
0.4227797190817293,,0.5614199876109108,,0.398116476986819,0.333450771849708,,,,,,0.6307620932548512
,0.5406024703199368,,,,,,,0.5535338686529742,,0.1536681547685636,
,,0.2270174727012398,,,,,,0.5100400473388887,0.3124174115386797,,
0.1915766689851143,,1.0,,0.909008698090946,,0.7765097282169966,,0.4751921822793188,,,
0.330500715221468,0.5419082286781163,0.6252504201596321,,0.6555842199825461,0.4514843208166407,0.6718006156574697,,,0.5351796888051786,,0.5658924359619089
0.107754632810484,0.5274755259903234,0.5232118893972392,,,0.3893230673774761,,,,,,
0.5451559117892979,,,,0.6005298375823624,0.884348310555381,0.5495767112795401,,,,0.6031996240515473,0.461748619962624
0.6605428552618694,,0.5216377517088391,,,0.4773914908353334,0.6473908739198175,,,0.3267893597210727,,0.5159488526349677
0.5436816653998262,0.3356219580930211,0.593871664263576,0.5804679821051666,,,,,,0.6103686875485297,,
,,,0.4167724300791943,,,0.6173749648917388,0.6036324165363941,,,,0.4486476445277333
,0.7191328658250565,,0.5841329749713097,,0.3788372064737591,0.6264203747435837,,,,0.377813006802723,0.6559242953651688
,,,0.7554040745383199,0.2101407141374235,0.6183592020192901,0.2671404227948975,,0.6284403254849975,0.7699344072174314,0.591745765510295,
,0.5622983791141173,,,,0.4431338955412252,,,,,0.5941292682201166,
0.5395044947604564,,0.6399490512320395,,,0.4277665055396464,,,0.4325236268508989,0.4724750159500239,0.3708803634910187,0.6193334486247571
,,0.3733626639375611,,,0.2438756269950591,,,0.5794106126685225,,,
